,loanpurposecode,loanapprovalcode,loaninterestrate,loanoriginalbalance,loanpayment,loanpaymentcount,loancreditscore,debtratio,rbl
12243,13,570,3.25,30000.0,543.17,60,763,0.5572,1
1451,3,1437,6.25,1151.04,100.27,12,699,0.3818,2
5365,25,780,5.0,2000.0,173.33,12,804,0.5198,1
635,40,1437,6.75,15000.0,319.0,0,663,0.2244,3
16605,25,1437,9.75,8841.43,300.55,36,639,0.2787,4
6002,40,570,6.75,5000.0,50.0,0,706,0.2611,2
721,25,780,5.75,15000.0,288.31,60,760,0.7921,1
21466,43,585,13.0,1000.0,25.0,0,785,0.3923,1
15202,3,47,10.25,12470.0,273.23,60,677,0.546,3
7787,3,1437,10.75,28449.58,630.05,60,676,0.455,3
21297,25,47,6.75,20000.0,377.58,72,731,0.3029,1
4670,13,780,3.25,4500.0,135.65,36,725,0.3759,1
15444,25,47,6.25,5000.0,97.46,60,671,0.4702,3
10038,40,55,6.75,15000.0,417.0,0,766,0.5946,1
21988,13,585,4.5,8500.0,166.4,60,699,0.69,2
18551,43,585,13.0,500.0,25.0,0,630,0.3309,4
11018,13,1437,6.0,7750.0,305.99,36,640,0.2049,3
1976,3,1090,8.5,30227.12,621.74,60,717,0.4362,2
19476,3,1437,7.0,19500.0,386.02,60,705,0.522,2
7087,3,585,8.25,20000.0,449.18,60,681,0.2375,2
2935,3,1462,4.25,7000.0,207.77,36,763,0.3333,1
3771,3,780,10.5,9795.0,271.57,48,653,0.1462,3
12275,3,47,7.25,20000.0,383.04,72,768,0.6444,1
5380,40,570,6.75,30000.0,50.0,0,841,0.2415,1
13518,7,1437,6.75,4000.0,130.23,36,702,0.2727,2
15411,3,780,7.25,11900.0,260.39,60,706,0.2713,2
10106,40,166,6.75,3000.0,72.0,0,766,0.7024,1
16388,40,1176,6.75,3000.0,97.0,0,0,0.1965,0
7273,3,1437,11.0,29747.29,663.86,60,676,0.3281,3
20564,40,1437,6.75,4865.51,154.0,0,675,0.4282,3
14711,40,55,6.75,20000.0,636.0,0,766,0.4097,1
11765,25,1437,7.0,6000.0,149.72,48,690,0.1766,2
15029,3,780,6.75,24205.96,487.96,60,800,0.3474,1
18833,3,570,6.75,4000.0,102.42,48,697,0.3607,2
11898,25,780,8.0,13500.0,279.72,60,699,0.0548,2
17630,9999,570,4.5,35000.0,652.25,60,723,0.3656,1
22153,23,55,6.5,8000.0,164.7,60,799,0.369,1
5535,40,780,6.75,10000.0,285.0,0,741,0.24,1
11494,23,780,5.5,2000.0,88.36,24,741,1.0284,1
18500,25,1437,15.25,20000.0,520.81,60,639,0.3493,4
20463,40,585,6.75,10000.0,191.0,0,790,0.3377,1
791,9999,1916,8.0,12619.3,255.87,60,661,0.1397,3
8537,23,570,17.5,10000.0,342.44,60,543,0.3466,5
9711,3,780,6.75,25000.0,530.75,60,746,0.3506,1
20677,3,780,5.75,18335.0,386.49,60,720,0.3477,1
17798,3,1437,6.5,10769.79,215.13,60,747,0.2624,1
20310,43,47,13.0,500.0,25.0,0,0,0.5358,1
10123,25,780,5.75,4000.0,124.92,36,756,0.3509,1
4807,43,780,13.0,1000.0,25.0,0,786,0.0075,1
18370,3,585,7.0,18070.6,366.54,60,639,0.8452,4
18590,3,1437,4.5,25000.0,490.28,60,748,0.3087,1
14129,9999,1176,5.75,14830.0,291.01,60,822,0.563,1
5899,13,1437,4.25,26953.71,424.95,72,773,0.3987,1
7264,3,780,6.0,15000.0,290.01,60,746,0.4497,1
16752,25,780,6.0,7200.0,182.17,48,731,0.2422,1
4102,25,570,7.5,11498.13,278.84,48,716,0.3197,2
17678,3,585,15.0,6030.99,180.11,48,611,0.427,4
8526,25,1916,7.0,3000.0,134.69,24,705,0.4502,2
21847,17,341,5.0,25132.78,436.42,66,689,0.4017,2
8613,23,780,7.5,15000.0,275.0,72,749,0.6161,1
20275,3,780,4.5,22192.0,414.17,60,758,0.0219,1
8097,40,55,4.75,6000.0,50.0,0,696,0.2943,2
2515,40,570,6.75,5000.0,134.0,0,709,0.4886,2
2557,17,780,7.75,19050.2,421.05,60,641,0.294,3
2417,3,780,6.0,9500.0,289.65,36,736,0.2537,1
3292,3,780,6.0,4500.0,137.06,36,754,0.4248,1
15208,25,47,15.0,3500.0,126.71,36,620,0.4823,4
2016,17,1407,4.75,20721.6,367.19,64,760,0.203,1
4563,3,780,5.5,2000.0,91.74,24,779,0.3787,1
18925,3,585,14.7,14802.49,356.67,60,626,0.3838,4
13274,13,1437,14.75,15224.3,393.06,60,574,0.3131,5
5305,25,780,5.25,1200.0,102.87,12,768,0.7196,1
22147,40,55,6.75,1500.0,50.0,0,702,0.0839,2
4324,25,1407,9.25,1000.0,89.32,12,659,0.0466,3
9176,17,780,3.5,21168.27,404.04,60,724,0.5909,1
16880,2,585,7.75,14000.0,308.77,60,700,0.127,2
12040,3,1017,10.25,17566.0,409.69,60,677,0.3585,3
8699,3,1017,6.75,10501.0,469.85,24,688,0.3106,2
8419,40,780,6.75,15000.0,463.0,0,742,0.2274,1
3908,3,780,6.0,13500.0,267.96,60,780,0.2068,1
379,7,780,5.75,1500.0,89.51,18,738,1.1842,1
4285,3,55,5.75,20868.01,343.97,72,726,0.5121,1
14725,40,1017,6.75,30000.0,879.0,0,747,0.3026,1
4001,13,1462,5.0,9764.6,401.15,27,657,0.4046,3
2753,9999,1437,14.75,11267.06,338.07,60,0,0.1201,4
15058,40,9999,6.75,30000.0,649.0,0,777,0.5152,1
10608,25,585,10.25,11584.8,271.48,60,659,0.3561,3
8752,3,780,6.0,11960.32,253.52,60,823,0.118,1
11739,25,570,15.75,9500.0,250.95,60,600,0.3635,4
19474,3,1437,8.25,41763.76,732.51,72,660,0.4345,3
3294,3,780,6.0,22000.0,446.92,60,750,0.3629,1
1477,13,585,5.0,24933.5,470.47,60,715,0.1201,2
6283,2,780,6.25,20000.0,509.33,48,748,0.2827,1
4077,3,1090,10.75,28550.77,633.89,60,652,0.3424,3
5838,25,780,5.5,3000.0,137.8,24,728,0.3533,1
17149,3,9999,6.75,50300.62,1010.95,60,696,0.5298,2
20218,25,55,4.5,32052.0,629.16,60,738,0.5518,1
15009,25,1437,10.5,9500.0,204.88,60,655,0.431,3
18971,40,1437,6.75,2000.0,65.0,0,604,0.3298,4
5392,2,1916,9.75,4000.0,184.39,24,674,0.3921,3
12146,2,780,5.25,4000.0,178.08,24,805,0.5751,1
11156,3,780,6.0,6680.97,169.29,48,736,0.4454,1
2886,13,780,3.75,9812.25,220.35,48,790,0.4247,1
12270,3,570,10.75,29179.82,567.15,72,675,0.4385,3
16692,3,1437,7.75,21311.22,452.22,60,703,0.3656,2
13827,9999,1017,8.5,40314.13,422.11,180,724,0.5994,1
4859,3,780,6.25,15000.0,354.61,48,773,0.5498,1
15311,3,1437,8.25,22808.59,427.84,72,713,0.0869,2
2110,9999,1437,17.7,37650.68,858.14,72,564,0.1291,5
10065,3,570,7.75,23500.0,483.91,60,702,0.5233,2
6456,23,166,7.25,6000.0,196.3,36,713,0.5619,2
1216,40,780,6.75,15000.0,228.0,0,701,0.2361,2
9792,25,780,6.0,8600.0,201.58,48,750,0.2952,1
19195,25,585,9.75,7000.0,179.84,48,640,0.2406,3
16817,25,47,5.75,10000.0,210.97,60,759,0.2349,1
1433,40,1090,6.75,30000.0,50.0,0,813,0.5215,1
5976,3,585,10.25,5400.0,180.28,36,663,0.3062,3
15553,13,780,3.25,16297.82,294.91,60,836,0.4118,1
2224,3,1437,8.25,13017.56,266.08,60,706,0.3281,2
22036,40,166,6.75,5000.0,59.0,0,729,0.4108,1
21914,3,55,4.5,25000.0,465.55,60,743,0.4746,1
4386,23,780,6.0,5000.0,152.21,36,751,0.3563,1
3800,2,780,9.75,5000.0,230.54,24,663,0.4184,3
3921,2,570,14.5,2500.0,228.8,12,622,0.4245,4
3308,23,1407,10.25,3000.0,98.48,36,670,0.4248,3
212,25,780,5.25,13000.0,595.43,24,726,0.2881,1
18039,25,1437,7.75,32461.12,600.46,72,650,0.4093,3
21453,40,55,6.75,20000.0,624.0,0,801,0.3214,1
14900,13,1437,3.5,15000.0,330.05,48,700,0.176,2
4169,3,1407,8.25,27959.86,583.52,60,714,0.3322,2
6596,25,585,9.25,2000.0,179.23,12,673,0.2927,3
9543,3,780,5.75,24687.79,500.52,60,737,0.2683,1
11723,3,1437,7.25,18697.52,457.99,48,688,0.5484,2
12481,25,47,16.0,10000.0,264.57,60,636,0.6106,4
7586,25,1407,15.5,3000.0,105.05,36,626,0.3794,4
1956,25,1017,14.5,1000.0,90.03,12,637,0.0232,4
15327,25,1437,16.0,6324.13,184.56,48,575,0.0811,5
3949,3,55,7.5,40168.13,972.13,48,701,0.4128,2
17087,25,585,10.5,3500.0,67.35,36,0,0.0846,4
21183,25,55,7.0,8900.0,191.97,60,676,0.741,3
7313,40,166,6.75,15000.0,318.0,0,798,0.8787,1
22152,8,585,4.5,15000.0,285.21,60,827,0.3631,1
6120,23,780,6.25,15000.0,291.86,60,765,0.3845,1
12889,3,47,15.75,13000.0,343.77,60,632,0.5606,4
9573,3,1407,7.75,32305.0,684.18,60,691,0.5386,2
21065,25,1017,6.25,40000.0,668.67,72,808,0.0383,1
2610,9999,166,2.8,17333.55,309.92,60,808,0.2599,1
4758,7,780,6.0,20000.0,395.73,60,752,0.0712,1
18724,13,1176,3.5,15549.06,282.95,60,733,0.4703,1
16240,3,780,6.0,4000.0,101.26,48,731,0.0613,1
12145,3,780,6.75,26579.07,574.68,60,735,0.4035,1
19329,3,570,10.0,17702.0,376.22,60,678,0.234,3
214,3,570,14.25,1933.32,94.94,24,639,0.2241,4
15732,3,780,10.25,13247.91,309.05,60,652,0.3446,3
17126,3,780,6.75,5640.0,178.98,36,713,0.2816,2
2181,3,780,6.0,10000.0,197.72,60,754,0.315,1
1682,2,780,5.5,6500.0,286.75,24,732,0.2216,1
14410,3,55,10.25,19326.0,451.33,60,644,0.09,3
2067,3,780,6.0,25000.0,484.19,60,801,0.2069,1
2708,25,780,6.25,5000.0,157.86,36,766,0.0599,1
21515,2,585,4.5,10000.0,204.98,60,747,0.1137,1
17859,2,1437,15.75,4000.0,148.56,36,585,0.1974,5
3066,25,780,6.25,5000.0,118.04,48,840,0.4059,1
2497,23,1462,7.25,4000.0,126.03,36,719,0.7165,2
2827,25,780,6.0,4009.29,123.59,36,728,0.5238,1
6433,3,780,6.0,23000.0,444.72,60,742,0.0605,1
22250,13,585,3.0,10680.15,246.4,48,715,0.413,2
1813,25,585,14.75,1000.0,90.24,12,0,0.0975,4
22395,25,585,4.5,15000.0,279.56,60,756,0.236,1
9948,2,780,5.75,23000.0,442.04,60,758,0.5469,1
21892,43,341,13.0,500.0,25.0,0,667,0.3396,1
7187,13,780,2.75,5200.0,155.45,36,812,0.2925,1
16479,3,47,5.75,25000.0,480.2,60,768,0.7351,1
3823,13,780,5.0,8000.0,154.84,60,700,0.3961,2
20560,3,1017,9.5,8556.0,231.29,48,660,0.3539,3
15859,40,1017,6.75,5000.0,149.0,0,721,0.4535,1
3291,25,570,10.5,21600.0,574.65,48,670,0.2052,3
1072,3,570,6.0,13200.0,259.47,60,717,0.5263,1
5134,2,780,5.0,2000.0,175.56,12,732,0.302,1
13862,25,1176,10.25,20000.0,466.98,60,661,0.4393,3
9859,23,780,6.0,7552.98,243.74,36,767,0.5355,1
13293,25,1176,7.0,5000.0,163.5,36,716,0.2766,2
4614,25,9999,8.25,22319.87,478.04,60,703,0.5132,2
4571,25,780,6.0,10000.0,304.85,36,782,0.4783,1
1762,3,570,10.75,20500.0,490.18,54,642,0.4353,3
16788,3,47,4.0,51500.0,997.94,60,754,0.3054,1
2795,3,1916,8.75,23707.91,448.1,72,693,0.2013,2
3434,25,1437,15.5,1518.4,138.21,12,556,0.335,5
2954,3,1437,8.25,25000.0,559.16,60,683,0.1817,2
18244,43,47,13.0,500.0,25.0,0,0,0.1607,0
12462,3,1437,10.25,15716.72,353.42,60,660,0.4297,3
12369,3,1437,15.0,20000.0,568.37,48,617,0.2745,4
1431,24,1017,10.25,6000.0,205.61,36,660,0.3283,3
2807,25,1017,16.5,7000.0,186.58,60,628,0.4542,4
14871,7,1017,10.25,7000.0,191.04,48,675,0.7192,3
13839,14,47,4.25,40000.0,551.81,84,726,0.6097,1
8864,25,1017,10.0,5000.0,166.88,36,659,0.1615,3
15755,25,1437,6.0,15000.0,317.87,60,735,0.6499,1
17558,3,1437,7.25,30119.36,601.17,60,713,0.3721,2
19686,9999,47,6.0,43803.12,486.79,120,668,0.3033,3
3510,25,570,9.25,1500.0,132.57,12,663,0.2693,3
13568,23,780,6.75,6000.0,195.83,36,707,0.1927,2
13149,9999,585,6.5,42180.0,708.94,72,732,0.5248,1
7549,3,585,6.0,33905.41,656.93,60,787,0.3515,1
9937,40,1437,6.75,15000.0,263.0,0,757,0.6001,1
4769,40,585,6.75,5000.0,159.0,0,699,0.4188,2
9853,25,1407,10.0,4785.31,163.78,36,664,0.2683,3
5943,2,780,6.25,15000.0,292.06,60,786,1.7867,1
2,3,780,7.0,18855.64,373.53,60,722,0.4139,1
15776,25,570,7.75,20000.0,413.39,60,699,0.2013,2
85,3,1017,7.0,8970.0,270.68,36,642,0.1545,3
12882,25,780,6.0,6000.0,193.32,36,775,0.2285,1
10490,13,570,12.3,15296.07,360.48,60,639,0.323,4
3004,23,1916,6.75,4000.0,180.41,24,712,0.5136,2
1536,25,780,5.0,1500.0,131.22,12,720,0.0881,1
8904,40,1407,6.75,20000.0,386.0,0,825,0.5306,1
4757,25,780,6.25,5000.0,155.01,36,743,0.5708,1
7197,25,585,10.5,6104.7,156.5,48,640,0.3622,3
10751,3,585,10.0,7898.22,200.82,48,660,0.3976,3
14240,2,1437,7.75,11150.0,246.52,60,702,0.1742,2
20521,40,1090,6.75,19983.02,610.0,0,726,0.3251,1
17596,40,1437,6.75,3000.0,50.0,0,694,0.2757,2
2088,25,780,2.49,4757.0,404.52,12,729,0.3959,1
7579,3,1437,7.5,9600.0,250.92,48,710,0.1912,2
17845,25,1437,4.5,17713.0,330.22,60,733,0.7313,1
6257,40,780,6.75,9000.0,248.0,0,727,0.45,1
1348,2,1407,14.5,1500.0,138.67,12,0,0.0888,4
14706,25,780,6.0,1700.0,52.39,36,804,0.132,1
9198,3,780,5.75,11242.38,360.88,36,767,0.6269,1
1919,25,780,2.49,1500.0,127.27,12,746,0.6796,1
11670,3,585,8.0,10000.0,193.07,60,701,0.5026,2
2874,25,1916,6.75,2500.0,115.84,24,687,0.0876,2
7718,3,780,5.5,9000.0,400.74,24,766,0.3424,1
16674,40,780,6.75,5000.0,50.0,0,789,0.2107,1
16473,3,780,6.25,5000.0,145.95,40,755,0.469,1
14046,25,780,5.75,15000.0,288.47,60,745,0.3786,1
8740,25,780,5.5,3000.0,137.52,24,729,0.463,1
4841,25,1916,9.25,1000.0,88.13,12,650,0.3305,3
20510,40,1437,6.75,6979.77,216.0,60,630,0.2018,1
12820,25,780,5.75,20000.0,403.53,60,799,0.5834,1
2240,40,780,6.75,15000.0,50.0,0,803,0.0831,1
16502,40,780,6.75,15000.0,308.0,0,690,0.1312,2
2814,2,1407,15.75,4000.0,367.93,12,593,0.1813,5
10068,13,780,3.5,19000.0,354.7,60,736,0.8838,1
966,3,585,10.25,25000.0,544.63,60,677,0.3844,3
3816,25,780,7.0,25000.0,507.37,60,744,0.3741,1
3264,25,780,7.0,15000.0,325.34,60,723,0.3463,1
20341,13,780,2.75,9723.7,227.97,48,792,0.3977,1
5435,25,1916,6.25,1000.0,88.15,12,710,0.3307,2
15965,25,780,5.75,5000.0,153.48,36,793,0.6679,1
7109,3,780,7.0,30000.0,594.2,60,736,0.4366,1
18118,9999,585,4.5,15000.0,279.69,60,780,0.4815,1
17829,2,585,4.5,18800.0,350.7,60,817,0.3626,1
7052,25,1437,15.5,2000.0,185.83,12,537,0.3234,5
2384,40,55,4.75,2000.0,61.0,0,708,0.1936,2
871,9999,166,16.4,10383.59,256.34,60,598,0.2783,5
1889,25,780,6.0,18500.0,366.14,60,793,0.4151,1
3934,25,1407,8.25,11136.64,248.85,60,703,0.1302,2
11141,3,585,6.25,10245.0,473.31,24,701,0.5121,2
19185,40,1090,6.75,4000.0,50.0,0,668,0.2761,3
2163,3,1437,8.25,13128.0,267.74,60,717,0.2554,2
18437,3,1017,6.25,15387.01,326.68,60,753,0.3178,1
13332,2,780,5.5,4378.93,201.09,24,764,0.9047,1
2024,3,780,6.0,15000.0,290.23,60,826,0.3823,1
13049,3,1176,10.25,20000.0,447.58,60,675,0.3009,3
8400,3,1407,15.0,2050.0,102.17,24,614,0.3949,4
748,3,1437,7.25,9132.2,204.7,60,671,0.2332,3
6238,3,780,6.0,30000.0,581.44,60,723,0.3495,1
8700,25,1017,9.75,2000.0,95.95,24,646,0.297,3
6178,9999,1090,3.25,18902.32,341.75,60,831,0.0781,1
14445,25,47,10.25,13112.0,295.1,60,648,0.3042,3
7462,23,780,6.25,4000.0,129.19,36,722,0.6121,1
8214,3,1407,10.75,9863.52,224.47,60,662,0.3786,3
2697,3,1407,8.25,15184.78,309.03,60,711,0.5045,2
10365,3,1437,10.25,22000.0,494.86,60,652,0.2134,3
12755,25,585,15.0,3795.0,107.84,48,633,0.3942,4
17516,3,1437,10.5,11992.47,257.71,60,664,0.3744,3
14050,2,780,6.0,15000.0,318.67,60,778,0.4354,1
14118,3,1176,7.75,20000.0,441.54,60,697,0.2717,2
1739,9999,1437,4.0,22653.11,355.0,72,792,0.267,1
20181,43,1090,13.0,500.0,25.0,0,799,0.7167,1
762,3,570,7.0,21580.3,449.89,60,731,0.5022,1
1623,3,780,5.5,20000.0,883.35,24,821,0.3607,1
17556,3,1437,7.25,34902.18,599.87,72,710,0.5043,2
6942,13,780,3.5,10000.0,181.84,60,740,0.2833,1
21286,3,570,6.25,30000.0,594.73,60,827,0.3958,1
21786,3,55,4.5,27851.28,519.69,60,732,0.2626,1
6885,3,1462,4.0,15000.0,283.2,60,763,0.5126,1
8643,2,1916,8.75,20000.0,358.78,72,707,0.3635,2
8470,2,1437,15.0,5000.0,247.45,24,608,0.1207,4
12991,43,1176,13.0,500.0,25.0,0,514,0.3356,5
6218,9999,1090,14.5,20875.71,494.1,60,0,0.1315,4
19318,3,166,4.5,44847.11,918.2,60,794,0.3566,1
7032,13,780,3.5,19357.89,352.25,60,767,0.4495,1
19826,25,1437,4.5,10000.0,186.53,60,774,0.6096,1
11958,23,1437,10.25,10000.0,233.54,60,642,0.1094,3
18222,3,585,7.75,20000.0,369.76,72,696,0.3149,2
22429,25,780,4.5,10000.0,204.73,60,720,0.2919,1
18595,17,570,5.25,20404.84,325.73,66,647,0.5753,3
10342,23,1437,14.25,3000.0,150.76,24,0,0.048,4
18058,25,1437,15.25,11835.29,298.58,60,622,0.1521,4
17232,13,780,3.25,16350.0,301.91,60,791,0.1348,1
9227,43,1437,13.0,500.0,25.0,0,0,0.3658,0
9390,3,1407,7.25,35878.15,682.54,72,725,0.5922,1
17644,3,780,4.5,13647.02,279.35,60,726,0.2705,1
2437,9999,1437,4.0,18757.17,345.44,60,723,0.3753,1
14131,14,1017,4.75,36000.0,576.34,72,689,0.5147,2
12759,3,780,5.75,10000.0,201.98,60,724,0.509,1
2164,13,1462,4.5,28859.0,458.68,72,701,0.1972,2
7367,25,780,7.5,20000.0,366.59,72,793,0.1793,1
7977,3,780,6.0,26000.0,503.07,60,739,0.5281,1
1413,9999,1437,5.0,37053.82,597.97,72,694,0.3144,2
22504,7,780,4.5,20000.0,373.02,60,772,0.3633,1
2576,3,1437,16.75,11493.05,310.16,60,602,0.3503,4
7714,25,780,6.0,15000.0,304.85,60,750,0.235,1
4674,25,780,6.25,6000.0,152.6,48,764,0.3521,1
6720,23,1437,10.25,5000.0,171.72,36,664,0.0388,3
5525,40,570,6.75,15000.0,143.0,0,708,0.2283,2
22333,25,585,7.5,6400.0,139.91,60,681,0.1521,2
7665,25,1916,16.0,8734.81,246.36,48,0,0.0986,4
12802,40,780,6.75,15000.0,440.0,0,746,0.2855,1
5284,13,780,3.0,6514.66,189.61,36,730,0.1605,1
9322,3,1407,7.75,27982.01,564.88,60,687,0.2077,2
6481,25,780,6.0,12000.0,231.77,60,789,0.2154,1
12467,40,1437,6.75,30000.0,50.0,0,786,0.1556,1
17627,2,1437,10.0,8461.86,223.98,48,601,0.0857,4
9228,40,1437,6.75,15000.0,420.0,0,731,0.4165,1
13042,25,780,6.75,12158.72,239.84,60,727,0.4415,1
13479,25,570,7.25,7000.0,168.64,48,695,0.2083,2
9845,2,1437,6.75,7000.0,228.2,36,699,0.2755,2
1489,23,780,6.0,15000.0,297.58,60,843,0.8808,1
6308,13,166,7.0,26831.8,483.22,72,680,0.2709,3
240,40,47,6.75,2000.0,65.0,0,620,0.4873,4
5564,3,780,6.25,13000.0,253.09,60,728,0.3429,1
7897,14,780,3.75,24696.08,394.99,72,850,0.2841,1
8474,25,570,10.75,15000.0,354.76,60,677,0.1317,3
22374,3,1017,6.25,5980.18,152.83,48,741,0.4935,1
18137,9999,1437,3.75,26260.78,423.15,69,763,0.3763,1
19670,3,1437,7.0,21897.31,467.71,60,652,0.1961,3
2281,9999,1017,9.25,36713.08,668.87,72,664,0.1869,3
1525,9999,1437,4.25,34241.67,471.99,84,710,0.1891,1
4659,25,780,2.49,10000.0,863.3,12,802,0.3049,1
247,23,780,6.25,6000.0,152.86,48,759,0.6403,1
18794,25,1090,15.0,4414.17,132.54,48,628,0.3134,4
12231,25,47,14.25,3059.09,147.27,24,625,0.1867,4
8995,3,1437,7.75,22055.52,466.32,60,694,0.2442,2
3333,25,1916,6.0,18000.0,382.22,60,729,0.3126,1
840,2,55,6.25,4000.0,184.85,24,684,0.3374,2
12845,25,1437,14.25,5000.0,243.92,24,605,0.2721,4
21861,17,585,4.25,12200.0,230.48,60,717,0.3499,2
20288,40,1017,6.75,11578.56,198.0,0,659,0.2874,3
15786,13,780,3.25,28073.86,508.03,60,757,0.4829,1
18452,25,47,15.25,15000.0,363.0,60,603,0.4238,4
10112,17,1437,4.5,12406.03,236.78,59,702,0.076,2
11949,25,780,5.75,10000.0,210.2,60,747,0.4992,1
15254,43,780,13.0,2000.0,25.0,0,834,0.4494,1
9275,25,585,14.25,2000.0,99.16,24,0,0.2235,4
12213,3,9999,5.75,24400.0,480.98,60,734,0.8797,1
19637,8,1437,6.25,10000.0,116.11,120,711,0.3,2
14389,13,1017,3.5,24900.0,453.03,60,753,0.2043,1
5631,40,780,6.75,15000.0,463.0,0,747,0.445,1
18987,43,780,13.0,1800.0,25.0,0,729,0.4495,1
20451,3,1437,6.25,25655.0,428.97,72,753,0.4421,1
11138,25,780,6.0,7229.58,182.87,48,734,0.504,1
21435,25,570,4.5,40000.0,744.82,60,733,0.5758,1
2634,3,585,7.25,7736.91,247.24,36,683,0.3413,2
10317,25,780,6.0,5600.0,170.42,36,731,0.2617,1
16494,25,780,5.75,5000.0,152.9,38,755,0.3232,1
20569,25,47,9.75,7000.0,187.59,48,647,0.4223,3
8414,3,780,6.0,10000.0,202.73,60,812,0.2757,1
17851,7,1437,4.5,15000.0,280.09,60,768,0.1992,1
2551,3,1437,7.5,30832.0,802.67,48,712,0.2716,2
4978,23,780,6.5,6000.0,153.2,48,724,0.3113,1
2385,3,1916,8.25,8600.0,192.26,60,688,0.3053,2
17017,25,1437,7.25,23200.0,442.63,72,691,0.5166,2
15042,25,780,5.75,22694.52,446.4,60,817,0.2373,1
15870,40,585,6.75,10000.0,269.0,0,736,0.2721,1
22227,40,341,6.75,11870.4,205.0,0,637,0.1771,1
16460,40,780,6.75,12999.25,402.0,0,766,0.1324,1
17947,3,1437,7.25,15862.0,346.33,60,676,0.2259,3
20515,25,585,4.5,30000.0,563.6,60,751,0.0039,1
16387,3,780,7.0,5655.1,137.89,48,712,0.182,2
16185,17,1176,3.5,10935.59,377.68,32,704,0.4971,2
13010,3,780,5.75,19500.0,394.65,60,720,0.0843,1
765,13,1916,10.75,15502.0,437.71,60,0,0.391,4
14181,25,55,10.25,10000.0,233.95,60,650,0.1646,3
2964,13,1916,4.5,9500.0,291.3,36,702,0.4794,2
13394,25,1017,6.25,1500.0,69.35,24,695,0.4898,2
18267,3,1437,4.5,24545.0,481.05,60,699,0.536,2
13960,23,55,14.25,2000.0,100.59,24,0,0.1407,4
5706,3,1916,8.5,23114.0,485.78,60,715,0.1527,2
21083,3,585,4.5,13500.0,275.82,60,736,0.1506,1
11366,14,780,3.75,37847.95,588.26,72,791,0.2733,1
19308,9999,47,5.5,11500.0,165.24,84,745,0.6314,1
18117,3,585,7.25,15000.0,298.93,60,713,0.3597,2
3504,3,570,6.0,20000.0,416.53,60,762,0.1054,1
8830,3,780,7.0,10000.0,216.74,60,789,0.2963,1
17489,3,47,15.75,5088.69,189.2,36,580,0.2511,5
6926,2,585,9.75,10000.0,459.21,24,640,0.1647,3
17304,3,47,5.75,28442.26,574.47,60,755,0.2601,1
6208,25,780,6.25,4000.0,129.41,36,807,0.5763,1
2293,2,780,6.25,15000.0,292.32,60,802,0.5577,1
11195,9999,780,5.25,3200.0,144.8,24,816,0.2038,1
9283,3,1437,10.5,9067.0,209.22,60,663,0.3877,3
9188,3,1437,9.75,8606.09,277.49,36,647,0.3802,3
5741,13,1916,14.5,14939.26,359.23,60,0,0.0951,4
16363,3,1437,15.75,4774.04,176.7,36,581,0.2539,5
21152,25,1017,7.0,10000.0,198.36,60,707,0.1416,2
3031,25,585,10.75,13786.2,312.83,60,655,0.2522,3
11688,13,570,3.25,33000.0,596.67,60,752,0.1374,1
10043,2,55,6.25,2000.0,92.45,24,707,0.311,2
21774,3,55,7.75,37559.49,696.12,72,665,0.6665,3
2642,9999,1017,3.0,18832.53,338.81,60,799,0.6125,1
2575,2,780,6.0,13413.0,272.45,60,723,0.4135,1
10650,25,780,7.75,8300.0,166.77,60,698,0.2119,2
9714,13,780,4.25,34575.26,477.09,84,781,0.3922,1
266,25,1437,15.0,3000.0,111.4,36,545,0.1177,4
7438,3,1916,17.5,9442.9,241.69,60,569,0.1537,5
12970,23,780,5.75,18000.0,379.64,60,753,0.3176,1
599,25,570,14.5,3000.0,270.24,12,0,0.0628,4
8225,40,780,6.75,15000.0,452.0,0,681,0.3121,2
7042,14,780,2.75,35912.59,1040.22,36,796,0.2955,1
12022,23,780,7.0,8000.0,162.28,60,756,0.4933,1
13638,2,1437,14.25,4000.0,199.88,24,0,0.4014,4
3043,3,780,6.0,15000.0,318.4,60,772,0.7084,1
12919,25,780,5.75,8336.23,268.17,36,815,0.3193,1
13097,13,780,3.0,13585.0,300.53,48,802,0.7457,1
3413,2,570,9.25,2000.0,178.93,12,675,0.2615,3
21193,40,1017,6.75,30000.0,948.0,0,799,0.4708,1
20678,3,1437,5.5,4583.74,111.15,48,719,0.5365,1
15827,25,1176,6.5,5000.0,119.0,48,704,0.3265,2
13815,13,780,3.25,14237.74,282.84,60,777,0.0629,1
13369,40,1437,6.75,5000.0,107.0,0,732,0.4263,1
10071,40,166,6.75,17000.0,552.0,0,681,0.5786,2
1516,9999,1437,4.0,40377.74,631.72,72,709,0.2635,1
550,3,55,10.5,18682.85,402.32,60,657,0.3087,3
18766,3,47,9.75,8000.0,217.43,48,644,0.4065,3
14426,3,1176,8.5,18151.4,405.91,60,655,0.4283,3
18657,3,47,6.75,27077.11,469.88,72,735,0.3892,1
7713,40,1407,6.75,20000.0,50.0,0,829,0.2537,1
5090,25,780,6.0,5000.0,160.71,36,722,0.2951,1
18442,23,585,9.75,5000.0,169.88,36,634,0.2802,4
14570,13,780,4.0,24500.0,428.24,72,763,0.3392,1
7643,25,780,6.25,13500.0,268.62,60,744,0.2607,1
6753,25,1916,15.75,5387.34,158.75,48,0,0.2392,4
